metric,model,start,end,point,empirical_lower,empirical_upper,absolute_error_p80,stress_lower,stress_upper,signed_error_p10,signed_error_p90,residual_windows
revenue_rub,weekday_shrunk,2026-09-11,2026-09-17,1102254.5050263158,281499.3176406836,1923009.692411948,820755.1873856322,25377.26822076016,2179131.7418318717,25822.100674242436,899722.015820513,18
orders,weekday_shrunk,2026-09-11,2026-09-17,117.45877192982456,44.21082321187585,190.7067206477733,73.24794871794872,17.125438596491236,217.7921052631579,-15.414924242424243,87.3898275862069,18
